Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Fiji,FJI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.917,2.905,2.872,2.819,2.76,2.696,2.631,2.612,2.604,2.591,2.567,2.518,2.461,2.419,2.385,2.357,2.332,2.305,2.281,..
Fiji,FJI,"Population, total",SP.POP.TOTL,882379,890365,897832,903399,907239,910419,912989,914918,916352,917585,918578,919166,918759,917180,914899,914963,916711,919422,924145,928784
Fiji,FJI,Population growth (annual %),SP.POP.GROW,0.912261663,0.900982209,0.835147738,0.61813479,0.424160518,0.349901163,0.281889923,0.211061144,0.156612656,0.134464836,0.108160343,0.063991505,-0.044289077,-0.172010115,-0.249006858,0.006995063,0.190863716,0.295294728,0.5123774,0.500721797
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,21984.19362,22330.86767,24888.17813,26592.02628,24434.21976,22494.80671,22831.51853,20846.54575,21955.63293,22258.63214,19166.95948,19690.07757,20826.93125,21925.61604,21582.5892,19966.48385,21426.38544,20053.95694,21832.28318,22439.88387
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.951,80.1,80.328,80.587,80.867,81.141,81.434,81.695,81.935,82.151,82.339,82.555,82.774,82.985,83.195,82.459,79.571,83.859,84.07,..
French Polynesia,PYF,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.925,18.184,17.391,18.028,17.662,17.823,16.92,16.532,15.713,15.799,15.001,13.999,13.146,12.812,11.938,11.782,11.424,11.156,10.907,..
French Polynesia,PYF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.181,2.217,2.122,2.195,2.148,2.165,2.061,2.026,1.937,1.957,1.872,1.763,1.669,1.645,1.567,1.57,1.532,1.515,1.501,..
French Polynesia,PYF,"Population, total",SP.POP.TOTL,259507,263223,266438,268379,269481,270580,271727,273084,274728,276387,277866,279178,280087,279815,279034,279209,279792,280378,281118,281807
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,1.49587094,1.421790446,1.213998948,0.725858947,0.409772633,0.406991624,0.423008263,0.498155436,0.600207712,0.602054022,0.533692559,0.471058813,0.325069797,-0.097159868,-0.279503232,0.062696713,0.208586465,0.209222277,0.263581728,0.244792945
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,25631.97761,25709.93515,26605.43242,28112.23166,29054.05812,29719.79678,29926.20524,31653.75065,32530.75931,33900.14865,35165.70146,35930.65949,36779.00789,37195.95031,39274.94314,36482.9364,38074.87937,41833.15171,..,..
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.427,76.477,76.397,76.233,76.141,76.095,76.153,76.237,76.361,76.423,76.444,76.449,76.463,76.561,76.645,75.529,75.434,77.102,77.209,..
Guam,GUM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,19.442,20.461,20.961,20.771,20.497,20.939,20.152,21.7,19.939,20.228,19.936,21.377,20.622,19.818,19.256,18.613,18.296,18.008,17.662,..
Guam,GUM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.638,2.807,2.905,2.905,2.891,2.973,2.876,3.117,2.883,2.946,2.933,3.171,3.088,2.995,2.938,2.895,2.856,2.819,2.781,..
Guam,GUM,"Population, total",SP.POP.TOTL,164365,164839,165267,165693,166173,166522,166543,166331,165966,165486,164905,164233,163490,162679,161808,162158,163730,165180,166506,167777
Guam,GUM,Population growth (annual %),SP.POP.GROW,0.338234496,0.287967538,0.259310791,0.257433065,0.289273583,0.209801847,0.012610151,-0.127375541,-0.219683083,-0.289634901,-0.351704858,-0.408339927,-0.453432486,-0.49728924,-0.536848682,0.216072141,0.964756108,0.881705873,0.799555642,0.760437189
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,26649.63772,28224.09516,30593.95117,31515.52921,30697.53839,32550.13649,35142.48793,36730.7962,38403.77771,40315.37395,42432.16197,43734.19807,46160.42979,48537.56689,48359.0012,46109.22999,49770.56424,48825.84419,50562.36331,54074.69285
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.60902439,82.38487805,82.36682927,82.3404878,82.77512195,82.95756098,83.41195122,83.4502439,83.83121951,83.93560976,84.25268293,84.21146341,84.69560976,84.8697561,85.15585366,85.49634146,85.53268293,83.66097561,85.24731707,..
"Hong Kong SAR, China",HKG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.4,9.6,10.2,11.3,11.8,12.6,13.5,12.8,8,8.6,8.2,8.3,7.6,7.2,7,5.8,5,4.4,4.4,..
"Hong Kong SAR, China",HKG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,0.959,0.984,1.028,1.064,1.055,1.127,1.204,1.285,1.125,1.235,1.196,1.205,1.128,1.08,1.064,0.883,0.772,0.701,0.751,..
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100,7524100
