Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.0922720052225,19.2299832388976,19.4035705019128,19.6574509865325,20.1979728726519,21.1232251168762,22.3824788531276,23.9411047582349,25.7644735090271,27.8179557823331,30.0669222549819,32.4767436038024,35.0127905056235,37.6404336372742,39.5830241256026,39.832658030922,40.1091858128847,40.374616187368,40.6290788072508,40.8727033252729
Cambodia,KHM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,39.1435394287109,41.7365608215332,44.2504997253418,..,..,..,..,..,..,..,..,48.9424458707368,50.199099715459,49.7344518908574,51.8196983337402,54.2809323078227,55.1346812645406,56.7864734981041,58.7893230437643
Cambodia,KHM,"School enrollment, primary (% gross)",SE.PRM.ENRR,129.551315307617,128.404861450195,127.717086791992,124.066017150879,123.781600952148,123.357803344727,118.762440557356,115.41843697639,115.808136523857,108.942219609284,103.759672683505,101.734266788056,100.69503505776,99.6739108443274,100.480819545412,107.021018981934,105.282475574163,106.331544381276,107.039014463223,108.971332849667
Cambodia,KHM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,32.33660507,32.84370041,32.39221573,48.62422562,55.25073624,53.58575439,65.3871994,68.90019989,65.39577484,63.1011467,70.23264313,75.22520447,77.97311401,91.59080505,112.5851059,106.79976654,137.38909912,103.89541626,114.56295776,..
Cambodia,KHM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,80.826,81.027,81.226,78.939,82.016,84.751,85.439,82.987,80.219,80.293,79.603,81.735,81.409,81.911,82.422,82.238,79.51,82.338,82.348,82.373
Cambodia,KHM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,61.0399163553182,64.672329331268,61.1365869942825,61.7787856845594,46.2109950081593,50.2265428540514,49.9211772643531,53.285002586552,56.6205657745424,56.629548029687,55.9812203124044,56.4318377218234,56.3000536720904,55.4713973566208,55.4468679729119,59.9217979409609,72.3610346435508,72.2070606780988,66.8926660552171,71.3635841655888
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1777.64496828464,2129.25696999613,2734.72709877693,3523.44302065213,3898.24459158811,4629.24551710077,5703.76027973346,6405.0574241349,7147.03518622344,7781.06597484974,8175.33285077393,8254.86859320357,8979.67652709856,10085.6638148819,10342.9009524335,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,13303.1481543868
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.085,74.404,74.789,74.833,75.317,75.668,75.889,76.2,76.452,76.714,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,..
China,CHN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.4,12.09,12.1,12.14,11.95,11.9,13.27,14.57,13.03,13.83,11.99,13.57,12.64,10.86,10.41,8.52,7.52,6.77,6.39,..
China,CHN,Population growth (annual %),SP.POP.GROW,0.588124989556992,0.558374367373002,0.522271866392275,0.51238693163744,0.497381400884935,0.482959688678361,0.546457594880274,0.678345458846803,0.666072977690069,0.630326389541893,0.581456146657648,0.573050906069647,0.605245013482969,0.467672053461959,0.354740890170827,0.238040870229883,0.0892522000412526,-0.0130995013525784,-0.103794531589067,-0.123063407363995
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.624,1.644,1.666,1.701,1.714,1.687,1.668,1.798,1.714,1.769,1.67,1.772,1.795,1.539,1.496,1.236,1.117,1.034,0.999,..
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.9899978637695,44.3430099487305,45.8892440795898,46.9895057678223,48.3417053222656,49.2340270628041,51.8300285339355,53.1003112792969,54.4900016784668,55.7502555847168,57.3297843933105,58.8399238586426,60.2402687072754,61.5001983642578,62.7099151611328,63.5234230266258,64.721076965332,65.2176361083984,65.5301448035523,65.8946980998325
China,CHN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,74.0575637817383,78.1607131958008,82.6792526245117,88.2874984741211,90.7829173331445,92.0329425203903,92.2603063015232,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,105.243812561035,105.438949584961,106.201782226562,105.59065246582,104.181700271,103.329573551865,103.181119624843,101.231978727477,96.8963827081444,96.340011477005,96.8787921899343,97.5379880463436,97.8103054615567,97.8174906065295,98.7860625918346,99.2294555866603,100.09807464465,99.1718634239571,99.644962886981
China,CHN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,73.00266266,82.48256683,98.5569458,133.83999634,164.87619019,188.87156677,239.19824219,284.69760132,329.08572388,362.28695679,393.09768677,398.17489624,439.94006348,504.10980225,538.99157715,582.95092773,670.25897217,755.43597412,763.37762451,..
China,CHN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,72.605,72.281,71.954,71.625,71.294,70.96,70.86,70.41,69.97,69.65,69.3,68.88,68.35,67.81,67.38,65.721,67.11,65.8,65.83,64.91
